Installed,Quadrat,Stick,Removed,Decay
2006,15-2,2,2007,0.079
2006,15-2,3,2007,0.013
2006,15-2,4,2007,0.23
2006,15-2,5,2007,0.52
2006,15-2,6,2007,0.80
2006,16-1,1,2007,0.035
2006,16-1,10,2007,0.41
2006,16-1,11,2007,0.021
2006,16-1,12,2007,0.095
2006,16-1,2,2007,0.039
2006,16-1,3,2007,0.37
2006,16-1,4,2007,0.013
2006,16-1,5,2007,0.021
2006,16-1,6,2007,0.020
2006,16-1,7,2007,0.14
2006,16-1,8,2007,0.1
2006,16-1,9,2007,0.080
2006,17-1,1,2007,0.077
2006,17-1,10,2007,0.070
2006,17-1,11,2007,0.1
2006,17-1,12,2007,0.094
2006,17-1,2,2007,0.14
2006,17-1,3,2007,0.12
2006,17-1,4,2007,0.040
2006,17-1,5,2007,0.5
2006,17-1,6,2007,0.80
2006,17-1,7,2007,0.14
2006,17-1,8,2007,0.13
2006,17-1,9,2007,0.069
2006,18-2,1,2007,0.14
2006,18-2,2,2007,0.84
2006,18-2,3,2007,0.050
2006,18-2,4,2007,0.15
2006,18-2,5,2007,0.45
2006,18-2,6,2007,0.66
2006,24-2,1,2007,0.074
2006,24-2,2,2007,0.84
2006,24-2,3,2007,0.094
2006,24-2,4,2007,0.19
2006,24-2,5,2007,0.31
2006,24-2,6,2007,0.05
2006,25-1,1,2007,0.29
2006,25-1,2,2007,0.24
2006,25-1,3,2007,0.26
2006,25-1,4,2007,0.076
2006,25-1,5,2007,0.15
2006,25-1,6,2007,0.072
2006,26-1,1,2007,0.1
2006,26-1,2,2007,0.13
2006,26-1,3,2007,0.11
2006,26-1,4,2007,0.15
2006,26-1,5,2007,0.14
2006,26-1,6,2007,0.37
2006,9-1,1,2007,0.13
2006,9-1,10,2007,0.39
2006,9-1,11,2007,0.7
2006,9-1,12,2007,0.56
2006,9-1,2,2007,0.4
2006,9-1,3,2007,0.13
2006,9-1,4,2007,0.63
2006,9-1,5,2007,0.33
2006,9-1,6,2007,0.89
2006,9-1,7,2007,0.15
2006,9-1,8,2007,0.23
2006,9-1,9,2007,0.085
2006,9-2,1,2007,0.098
2006,9-2,2,2007,0.26
2006,9-2,3,2007,0.26
2006,9-2,4,2007,0.056
2006,9-2,5,2007,0.15
2006,9-2,6,2007,0.12
